Country,Internet Users,Population
Somalia,"294,851","14,742,523"
Guyana,"290,375","777,859"
Suriname,"275,785","563,402"
Maldives,"275,717","436,330"
Barbados,"233,604","285,719"
New Caledonia,"226,557","276,255"
French Polynesia,"205,746","283,007"
Central African Republic,"202,204","4,659,080"
Belize,"176,400","374,681"
Guam,"132,221","164,229"
Aruba,"102,285","105,264"
Saint Lucia,"90,889","178,844"
Antigua and Barbuda,"77,529","102,012"
Andorra,"76,095","76,965"
Guinea-Bissau,"73,148","1,861,283"
Solomon Islands,"72,872","611,343"
Saint Vincent and the Grenadines,"72,048","109,897"
Vanuatu,"71,050","276,244"
Comoros,"69,020","813,912"
U.S. Virgin Islands,"67,535","104,901"
Eritrea,"66,402","5,068,831"
Samoa,"66,023","196,440"
Grenada,"63,692","107,825"
São Tomé and Príncipe,"61,155","204,327"
Bermuda,"60,349","61,349"
Seychelles,"55,677","94,737"
Dominica,"51,467","73,925"
Cayman Islands,"49,906","61,559"
Faroe Islands,"48,097","49,290"
Saint Kitts and Nevis,"44,669","55,345"
Tonga,"44,558","108,020"
Greenland,"39,242","56,480"
Jersey,"38,958","165,314"
Monaco,"37,553","38,695"
"Micronesia, Federated States of","37,257","105,544"
Liechtenstein,"37,201","37,922"
Gibraltar,"32,494","34,571"
Marshall Islands,"20,560","53,127"
San Marino,"20,100","33,400"
Kiribati,"16,971","116,398"
British Virgin Islands,"14,456","31,196"
Anguilla,"12,043","14,909"
Nauru,"6,475","11,359"
Tuvalu,"5,520","11,192"
Saint Helena,"2,906","4,534"
Falkland Islands,"2,881","2,910"
Montserrat,"2,833","5,177"
Wallis and Futuna,"1,383","11,773"
Niue,"1,034","1,618"
Ascension,361,806
