Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Dominica,47.45000076,48.59999847,49.79999924,51,57.5,65,67.02999878,69.61966705,,,
Dominican Republic,31.39999962,38,42.31999969,45.90000153,49.58000183,54.21576691,63.87086487,67.57124329,74.822052,75.80000305,76.90000153
East Asia and Pacific,34.270504,37.40225983,40.45217514,43.31155777,46.09100342,48.87998962,52.24224854,54.37322998,59.51553726,63.94029617,69.21808624
Ecuador,29.03000069,31.36680794,35.13514709,40.2791214,45.59038925,48.9404335,54.06292343,55.79999924,57.5,61.59999847,64.59999847
Egypt,21.60000038,25.60000038,26.39999962,29.39999962,33.89460373,37.81938171,41.24806595,44.95020294,46.92433548,57.28286743,71.91419983
El Salvador,15.89999962,18.89999962,20.32138824,23.10930061,24.76171303,26.80260468,28.99707222,33.8207283,43.79999924,50.49119186,54.60137177
Equatorial Guinea,6,11.5,13.94318199,16.39999962,18.86000061,21.31999969,23.78000069,26.23999977,,,
Eritrea,0.6100000143,0.6999999881,0.8000000119,0.8999999762,0.9900000095,1.083733082,1.177118778,1.308907032,,,
Estonia,74.09999847,76.5,78.3899231,80.00430298,84.24153137,88.40970612,87.24023438,88.10245514,89.35700989,90.22892761,89.05828857
Eswatini,11.03999996,18.12999916,20.78178215,24.70000076,25,25.64304161,28.56999969,30.29999924,,,
Ethiopia,0.75,1.100000024,2.900000095,4.599999905,7.699999809,13.85517597,15.36692429,18.61805153,20,22,24
Europe and Central Asia,57.08758163,60.27293015,63.95801163,66.31938934,68.9834137,70.01831055,72.3966217,74.52881622,78.92041016,81.823349,83.88905334
European Union,68.69564056,69.66178131,71.85745239,73.61036682,75.1855011,75.65441895,76.89717865,78.683815,81.7383728,83.84421539,84.74347687
Faeroe Islands,75.19999695,80.7321701,85.33518982,90,93.30000305,94.19999695,95.10868073,97.58196259,,,
Fiji,20,28,33.74235535,35.20000076,37.40000153,42.5,49.41999817,65.77999878,68.90000153,,
Finland,86.88999939,88.70999146,89.87999725,91.51439667,86.53039551,86.4221344,87.70365143,87.46892548,88.88996124,89.60738373,92.16999817
France,77.27999878,77.81999969,81.44000244,81.9197998,83.75,78.00603485,79.26981354,80.50245667,82.04319,83.33974457,84.80000305
French Polynesia,49,49,52.87662888,56.79999924,60.68000031,64.56021118,68.44042206,72.70389557,,,
Gabon,13,18,24,30.53803253,38.07120895,45.78453827,48.0522728,50.32012177,59.59999847,61,62
Gambia,9.199999809,10.87030029,12.44922829,14,15.56000042,18.20000076,21.39999962,25.10000038,32.59999847,34.5,36.5
Georgia,26.89999962,31.52000046,36.93999863,43.29999924,44,47.56975937,58.45928955,59.70550537,62.71790695,68.84670258,72.53158569
Germany,82,81.26999664,82.34999847,84.16999817,86.19000244,87.58979797,84.16520691,84.39415741,87.03710938,88.13451385,89.8129425
Ghana,7.800000191,9,10.60000038,15,19,23,28,37.88415146,43,53,58
Gibraltar,65,65,65.01699829,,,,94.44447327,,,,
Greece,44.40000153,51.6499939,55.06999207,59.86629868,63.20999908,66.83496094,69.08791351,69.89296722,72.2383728,75.67120361,78.11584473
Greenland,63,64,64.89601135,65.80000305,66.69999695,67.60044098,68.50087738,69.48246002,,,
Grenada,27,30,32,35,51.59999847,52.5,53.29999924,54.20000076,55.09999847,56,56.90000153
Guam,54.04000092,57.70000076,61.53416061,65.40000153,69.26999664,73.13999939,77.01000214,80.50546265,,,
Guatemala,10.5,12.30000019,16,19.70000076,23.39999962,28.80594063,34.50932693,37.90000153,41.5,44.40105057,49.97000122
Guinea,1,2,3.099999905,4.5,6.400000095,9.199999809,13.10000038,18.70000076,21.83002281,23,26
Guinea-Bissau,2.450000048,2.671999931,2.893990517,3.099999905,3.319999933,6.099999905,13.80000019,14.80000019,15.69999981,19.39999962,22.89999962
Guyana,29.89999962,30,30.5,31,32,34,35.65999985,37.32583618,,,
Haiti,8.369999886,9,9.800000191,10.60000038,11.39999962,14.19999981,22.79999924,27.20000076,32.473629,33.29999924,34.5
High income,72.24767303,72.79930115,75.49973297,76.85536957,78.4944458,79.93095398,84.27359772,85.77418518,87.48468018,89.04125214,89.82161713
Honduras,11.09000015,15.89999962,18.12000084,17.79999924,23,27.10000038,29.5,31.70000076,36,39.38835144,42.04999924
Hong Kong,72,72.19999695,72.90000153,74.19999695,79.86627197,84.94835663,87.47941589,89.41594696,90.50739288,91.74340057,92.41313934
