Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Switzerland,603434000000.00,722038000000.00,692110000000.00,712748000000.00,734397000000.00,702150000000.00,695601000000.00,704479000000.00,735539000000.00,731767000000.00,752248000000.00
Channel Islands,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chile,217105000000.00,251225000000.00,267176000000.00,277239000000.00,259405000000.00,242497000000.00,249299000000.00,276365000000.00,295403000000.00,278585000000.00,252727000000.00
China,6087160000000.00,7551500000000.00,8532230000000.00,9570410000000.00,10475700000000.00,11061600000000.00,11233300000000.00,12310400000000.00,13894800000000.00,14279900000000.00,14687700000000.00
Cote d'Ivoire,34936305297.00,36693712825.00,36302305578.00,42760237561.00,48843008580.00,45814637971.00,47964234560.00,51588158718.00,58011466451.00,58539424930.00,61348579465.00
Cameroon,27507499709.00,30630912185.00,30155064574.00,33728622819.00,36386546918.00,32210232912.00,33814337900.00,36098550142.00,39973839065.00,39670977333.00,40804449726.00
"Congo, Dem. Rep.",21565720044.00,25839749199.00,29306235826.00,32679745298.00,35909040266.00,37917704900.00,37134799975.00,38019265626.00,47568210068.00,51775830726.00,48716960860.00
"Congo, Rep.",13148396206.00,15655383586.00,17692911281.00,17958720704.00,17912907682.00,11890259177.00,10219341017.00,11094823677.00,13670038020.00,12750338736.00,10483151094.00
Colombia,286563000000.00,334944000000.00,370921000000.00,382116000000.00,381112000000.00,293482000000.00,282825000000.00,311884000000.00,334198000000.00,323110000000.00,270300000000.00
Comoros,907978723.50,1023086184.00,1015843369.00,1116224161.00,1149587652.00,966029542.00,1012835518.00,1077439663.00,1188797575.00,1195019559.00,1223876065.00
Cabo Verde,1664310770.00,1865915544.00,1741809809.00,1850470042.00,1859898513.00,1596800287.00,1663008687.00,1769787215.00,1966501118.00,1981845741.00,1703698677.00
Costa Rica,37658614803.00,42762617082.00,47231651863.00,50949672206.00,52016408951.00,56441917653.00,58847016045.00,60516043590.00,62420165100.00,64417670083.00,62158002233.00
Caribbean small states,64592893104.00,69730495218.00,72141071446.00,73521446002.00,74620404150.00,73535009882.00,69478366695.00,72533236071.00,75431169088.00,77023818121.00,65922853041.00
Cuba,59562962963.00,68990000000.00,73141000000.00,77148000000.00,80656000000.00,87133000000.00,91370000000.00,96851000000.00,100050000000.00,103428000000.00,107352000000.00
Curacao,nan,2933128492.00,3024525140.00,3039944134.00,3048435754.00,3042737430.00,3014748603.00,3009497207.00,3020388817.00,2995185487.00,2496174736.00
Cayman Islands,4156990816.00,4186223865.00,4291158968.00,4405954696.00,4563017852.00,4708336756.00,4909498943.00,5166467287.00,5530377593.00,5943589096.00,5608989196.00
Cyprus,25732432719.00,27565469098.00,24978513427.00,23900872626.00,23156850007.00,19842404305.00,20953442550.00,22870833710.00,25522671233.00,25758357775.00,24692095945.00
Czech Republic,209070000000.00,229563000000.00,208858000000.00,211686000000.00,209359000000.00,188033000000.00,196272000000.00,218629000000.00,248950000000.00,252498000000.00,245339000000.00
Germany,3399670000000.00,3749310000000.00,3527140000000.00,3733800000000.00,3889090000000.00,3357590000000.00,3469850000000.00,3690850000000.00,3977290000000.00,3888330000000.00,3846410000000.00
Djibouti,1128611700.00,1239144502.00,1353632942.00,2042817163.00,2214679081.00,2424391785.00,2604955229.00,2762581334.00,2913466732.00,3088853639.00,3181071154.00
Dominica,493825925.90,501025925.90,485996296.30,498296296.30,520207407.40,540737037.00,576229629.60,521551851.90,554770370.40,611537037.00,504214814.80
Denmark,321995000000.00,344003000000.00,327149000000.00,343584000000.00,352994000000.00,302673000000.00,313116000000.00,332121000000.00,356841000000.00,347561000000.00,356085000000.00
Dominican Republic,53860175556.00,58029750746.00,60681537196.00,62682163837.00,67179914027.00,71164825257.00,75704720190.00,79997975622.00,85555378043.00,88941299734.00,78844702329.00
Algeria,161207000000.00,200013000000.00,209059000000.00,209755000000.00,213810000000.00,165979000000.00,160034000000.00,170097000000.00,174911000000.00,171767000000.00,145009000000.00
East Asia & Pacific (excluding high income),7889430000000.00,9645510000000.00,10759200000000.00,11871100000000.00,12798800000000.00,13327600000000.00,13612400000000.00,14877300000000.00,16639000000000.00,17203900000000.00,17483800000000.00
Early-demographic dividend,8800870000000.00,9720070000000.00,10153500000000.00,10295600000000.00,10648300000000.00,10129000000000.00,10454400000000.00,11291300000000.00,11401100000000.00,11643800000000.00,10841700000000.00
East Asia & Pacific,17063300000000.00,19788700000000.00,21171200000000.00,21409800000000.00,22085300000000.00,21997100000000.00,22772100000000.00,24325200000000.00,26481000000000.00,27024100000000.00,27118700000000.00
Europe & Central Asia (excluding high income),2953060000000.00,3670010000000.00,3914700000000.00,4150220000000.00,3845830000000.00,2921400000000.00,2777730000000.00,3118190000000.00,3182530000000.00,3249710000000.00,2980730000000.00
