Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cayman Islands,4156990816,4186223865,4291158968,4405954696,4563017852,4708336756,4909498943,5166467287,5530377593,5943589096,5608989196
Cyprus,25732432719,27565469098,24978513427,23900872626,23156850007,19842404305,20953442550,22870833710,25522671233,25758357775,24692095945
Czech Republic,209070000000,229563000000,208858000000,211686000000,209359000000,188033000000,196272000000,218629000000,248950000000,252498000000,245339000000
Germany,3399670000000,3749310000000,3527140000000,3733800000000,3889090000000,3357590000000,3469850000000,3690850000000,3977290000000,3888330000000,3846410000000
Djibouti,1128611700,1239144502,1353632942,2042817163,2214679081,2424391785,2604955229,2762581334,2913466732,3088853639,3181071154
Dominica,493825925.9,501025925.9,485996296.3,498296296.3,520207407.4,540737037,576229629.6,521551851.9,554770370.4,611537037,504214814.8
Denmark,321995000000,344003000000,327149000000,343584000000,352994000000,302673000000,313116000000,332121000000,356841000000,347561000000,356085000000
Dominican Republic,53860175556,58029750746,60681537196,62682163837,67179914027,71164825257,75704720190,79997975622,85555378043,88941299734,78844702329
Algeria,161207000000,200013000000,209059000000,209755000000,213810000000,165979000000,160034000000,170097000000,174911000000,171767000000,145009000000
East Asia & Pacific (excluding high income),7889430000000,9645510000000,10759200000000,11871100000000,12798800000000,13327600000000,13612400000000,14877300000000,16639000000000,17203900000000,17483800000000
Early-demographic dividend,8800870000000,9720070000000,10153500000000,10295600000000,10648300000000,10129000000000,10454400000000,11291300000000,11401100000000,11643800000000,10841700000000
East Asia & Pacific,17063300000000,19788700000000,21171200000000,21409800000000,22085300000000,21997100000000,22772100000000,24325200000000,26481000000000,27024100000000,27118700000000
Europe & Central Asia (excluding high income),2953060000000,3670010000000,3914700000000,4150220000000,3845830000000,2921400000000,2777730000000,3118190000000,3182530000000,3249710000000,2980730000000
Europe & Central Asia,21025800000000,23314100000000,22462300000000,23481200000000,23811900000000,20513300000000,20453700000000,21680200000000,23224100000000,22941600000000,22133900000000
Ecuador,69555367000,79276664000,87924544000,95129659000,101726000000,99290381000,99937696000,104296000000,107562000000,108108000000,99291124000
"Egypt, Arab Rep.",218984000000,235990000000,279117000000,288434000000,305595000000,329367000000,332442000000,235734000000,249713000000,303081000000,365253000000
Euro area,12641300000000,13637400000000,12638200000000,13195400000000,13508900000000,11674400000000,11972500000000,12677700000000,13699400000000,13416100000000,13027300000000
Spain,1422110000000,1480710000000,1324740000000,1355140000000,1371220000000,1195600000000,1232910000000,1312540000000,1420990000000,1393050000000,1281480000000
Estonia,19523477326,23213994093,23019150071,25115753366,26634083965,22890762090,24072829277,26924385103,30489500905,31045591753,30650285472
Ethiopia,29933790334,31952763089,43310721414,47648211133,55612228234,64589334979,74296618481,81770791971,84269348327,95912590628,107658000000
European Union,14557600000000,15759500000000,14636200000000,15299700000000,15652100000000,13551900000000,13893200000000,14766300000000,15978700000000,15691900000000,15300100000000
Fragile and conflict affected situations,1704880000000,1585690000000,1775660000000,1841570000000,2003050000000,1626310000000,1508060000000,1580890000000,1603270000000,1689420000000,1561510000000
Finland,249424000000,275604000000,258290000000,271362000000,274863000000,234534000000,240771000000,255648000000,275715000000,268508000000,271837000000
Fiji,3140508836,3774530616,3972012571,4190143206,4856963230,4682546863,4930204230,5353404422,5581371850,5496264766,4574413823
France,2645190000000,2865160000000,2683670000000,2811880000000,2855960000000,2439190000000,2472960000000,2595150000000,2790960000000,2728870000000,2630320000000
Faroe Islands,2322202664,2499152495,2414380665,2677296441,2901131403,2561824641,2804863556,2969876872,3180074747,3268839776,3240759989
"Micronesia, Fed. Sts.",296944100,311301600,327248700,317214400,319271200,316489900,332265200,366666800,401932300,412479413.4,407515928
Gabon,14372591916,18210308748,17170465294,17595745653,18203968002,14383107714,14023890620,14929488771,16867325127,16874405840,15316824039
United Kingdom,2491110000000,2674890000000,2719160000000,2803290000000,3087170000000,2956570000000,2722850000000,2699020000000,2900790000000,2878670000000,2756900000000
Georgia,12243505583,15107441447,16488403076,17189551521,17627003455,14953950557,15141758567,16242916916,17596922470,17470436259,15842922533
Ghana,32197272797,39337314810,41270954737,62823043706,54782847753,49406568433,56165172899,60406382899,67299280680,68337537816,70043199814
Guinea,6853467858,6785137173,7638045254,8376613843,8778473615,8794202444,8595955581,10324668267,11857030337,13442861444,14169626010
"Gambia, The",1543292393,1409694554,1415006238,1375608956,1229460602,1378176868,1484579844,1504909753,1670670669,1813608280,1830413000
Guinea-Bissau,849878424.2,1099818652,989271229.6,1046087418,1054915645,1048229629,1179004941,1350177128,1504630121,1439638443,1431758243
Equatorial Guinea,16314442183,21357344847,22388345810,21948835350,21765454404,13185496836,11240809132,12200912828,13097011208,11364134109,10099157270
Greece,297125000000,282996000000,242029000000,238908000000,235458000000,195684000000,193148000000,199844000000,212049000000,205144000000,188835000000
Grenada,771013259.3,778655925.9,799882259.3,842620111.1,911497407.4,997007925.9,1061640741,1125685185,1166523556,1213485185,1043411111
Greenland,2503156061,2684467376,2609667674,2684952727,2842048998,2499115623,2707146783,2851610656,3055791341,2994332324,3075968329
Guatemala,40676432029,46876114650,49593961142,52996540704,57852399964,62186186576,66053725049,71654134379,73208583759,77020015201,77604632621
Guam,4949000000,4984000000,5265000000,5399000000,5610000000,5799000000,5901000000,6013000000,6060000000,6364000000,5844000000
Guyana,3432913073,3691384318,4063089192,4167800259,4127659492,4279840194,4482697337,4748174334,4787636237,5173760192,5471256595
High income,45752200000000,49401000000000,49426100000000,50047900000000,51126000000000,48258400000000,49298600000000,51558500000000,54815600000000,55289200000000,53699800000000
"Hong Kong SAR, China",228638000000,248514000000,262629000000,275697000000,291459000000,309384000000,320858000000,341273000000,361731000000,363052000000,344881000000
Honduras,15839344592,17710315006,18528601901,18499710128,19756494435,20979767785,21717622071,23136232230,24067778954,25089976947,23827840810
Heavily indebted poor countries (HIPC),520218000000,583029000000,604867000000,673157000000,715229000000,693547000000,728869000000,808758000000,770227000000,797618000000,803284000000
Croatia,60426018629,63169910822,57192346923,58889082315,58330289757,50163192883,52295158344,56214427431,62247874949,62246206341,57203783203
Haiti,11859315079,13008754111,13708926466,14902474091,15139264670,14833154472,13987693739,15035560373,16455034353,14785839383,14508218017
Hungary,132231000000,142000000000,128857000000,135733000000,141079000000,125210000000,128636000000,143136000000,160587000000,163526000000,156743000000
IBRD only,20097500000000,23788700000000,25281700000000,26687300000000,27585900000000,25838400000000,26049400000000,28755700000000,30580300000000,31244200000000,30032400000000
IDA & IBRD total,21779200000000,25494100000000,27074300000000,28633400000000,29669200000000,27890600000000,28148200000000,30949200000000,32816700000000,33581700000000,32364900000000
IDA total,1682180000000,1705350000000,1792470000000,1946120000000,2083300000000,2051050000000,2097400000000,2193040000000,2236770000000,2337490000000,2332330000000
IDA blend,709901000000,814256000000,900553000000,978009000000,1049300000000,1011470000000,977136000000,959821000000,1007830000000,1040150000000,999384000000
Indonesia,755094000000,892969000000,917870000000,912524000000,890815000000,860854000000,931877000000,1015620000000,1042270000000,1119100000000,1058690000000
IDA only,972926000000,891297000000,891921000000,968110000000,1034000000000,1039580000000,1120260000000,1233220000000,1228940000000,1297340000000,1333640000000
India,1675620000000,1823050000000,1827640000000,1856720000000,2039130000000,2103590000000,2294800000000,2651470000000,2702930000000,2831550000000,2667690000000
Ireland,221876000000,238976000000,225497000000,238279000000,258970000000,291580000000,298928000000,335431000000,385042000000,399122000000,425889000000
"Iran, Islamic Rep.",486808000000,626133000000,644036000000,492776000000,460383000000,408213000000,457955000000,486630000000,330992000000,291363000000,231548000000
Iraq,138517000000,185750000000,218002000000,234638000000,228416000000,166774000000,166602000000,187218000000,227367000000,233636000000,184370000000
Iceland,13751161918,15221622926,14751508134,16125060515,17867662178,17517210519,20793168031,24728285177,26267063758,24857740445,21718075725
Israel,234655000000,262294000000,258417000000,294167000000,310945000000,300078000000,319024000000,355277000000,373641000000,397935000000,407101000000
Italy,2136100000000,2294990000000,2086960000000,2141920000000,2162010000000,1836640000000,1877070000000,1961800000000,2091930000000,2011290000000,1892570000000
Jamaica,13220556883,14444655300,14807086889,14264202737,13899228824,14188935948,14077109397,14808989993,15730793853,15830768550,13812425037
Jordan,27133804225,29524149155,31634561690,34454440141,36847643521,38587017887,39892551127,41408960845,42932112676,44502895915,43697659296
Japan,5759070000000,6233150000000,6272360000000,5212330000000,4896990000000,4444930000000,5003680000000,4930840000000,5037840000000,5123320000000,5040110000000
Kazakhstan,148047000000,192627000000,207999000000,236635000000,221416000000,184388000000,137278000000,166806000000,179340000000,181667000000,171082000000
Kenya,45405587557,46869457318,56396706006,61671425370,68285768554,70120413329,74815121315,82035800868,92202956321,100380000000,100667000000
Kyrgyz Republic,4794357795,6197766119,6605139933,7335027592,7468096567,6678178340,6813092066,7702934800,8271108638,8871026074,7780874537
Cambodia,11242275199,12829541141,14054443213,15227991395,16702610842,18049954289,20016747754,22177200512,24571753583,27089389787,25872798012
Kiribati,155299728.5,180665807.2,189630114.9,184550740.1,177862310.4,170291002,178509814.1,188192060.1,196230573.8,177935349.3,180911843.6
St. Kitts and Nevis,778718111.1,836092407.4,826231629.6,875376407.4,954062481.5,958407222.2,1008942296,1060638333,1078505889,1164877852,980905888.9
"Korea, Rep.",1144070000000,1253220000000,1278430000000,1370800000000,1484320000000,1465770000000,1500110000000,1623900000000,1724850000000,1651420000000,1637900000000
Kuwait,115419000000,154068000000,174070000000,174161000000,162631000000,114567000000,109420000000,120707000000,138182000000,136197000000,105960000000
Latin America & Caribbean (excluding high income),4513240000000,5275520000000,5247980000000,5386100000000,5410690000000,4599010000000,4469550000000,4985190000000,4840910000000,4778840000000,3997940000000
Lao PDR,7131773633,8750107402,10192848926,11983252611,13279248479,14426381187,15912495369,17071162084,18141651381,18740559554,18981800705
Lebanon,38443907042,39927125961,44016799516,46880103081,48095213746,49929337837,51147308774,53027680686,54901519156,51605959131,25948915861
Liberia,1998000000,2398000000,2791614000,3177198100,3225652000,3227075700,3398419600,3390703400,3422754800,3319596500,3039982540
Libya,75380170508,48167374612,92538004280,75350633011,57372445772,48717854040,49910960875,67158415842,76684175824,69252306372,52320215472
St. Lucia,1486758037,1576988407,1605146778,1664816741,1755130815,1808079889,1865513430,1996771441,2065127263,2118791548,1616772748
Latin America & Caribbean,5347120000000,6085990000000,6150580000000,6302260000000,6425930000000,5369840000000,5247930000000,5830760000000,5701840000000,5623610000000,4743150000000
Least developed countries: UN classification,686139000000,796491000000,837472000000,912825000000,981404000000,949727000000,988285000000,1103870000000,1087620000000,1142300000000,1162000000000
Low income,613155000000,461377000000,437977000000,449879000000,480290000000,474998000000,470793000000,527247000000,453568000000,479643000000,481025000000
Sri Lanka,56725749222,65292753005,68434409315,74317806538,79356449841,80604080689,82401038710,87428128124,87963042341,83902574443,80969683537
Lower middle income,5246900000000,6031010000000,6329150000000,6432750000000,6682830000000,6525990000000,6885320000000,7396390000000,7541060000000,7894760000000,7585550000000
Low & middle income,20449600000000,24135700000000,25680400000000,27188300000000,28100500000000,26661300000000,26903000000000,29564600000000,31299300000000,32061300000000,30913900000000
Lesotho,2234731974,2579421686,2477702253,2367113170,2441053176,2359759799,2114020380,2306185361,2514146888,2451257579,2250717718
Late-demographic dividend,13540300000000,16498600000000,17649600000000,19020300000000,19748300000000,18517700000000,18570800000000,20609600000000,22593000000000,23026400000000,22470900000000
Lithuania,37128694028,43535051482,42927454291,46523420074,48533659592,41435533340,43047309306,47758736932,53750911866,54697379017,56546957475
Luxembourg,56213985987,61696281326,59776383527,65203276467,68804811898,60071584216,62216885436,65712180343,71285019397,70195715496,73353132794
Latvia,23956163077,27474380566,28169902669,30204783462,31386896487,27263090547,28083597512,30483806018,34429023435,34308783825,33645460617
"Macao SAR, China",28241858489,36845925519,43189526778,51536304808,54903031138,45047964934,45070605746,50440941939,55284360483,55204758070,25586111076
Morocco,93216746662,101370000000,98266306615,106826000000,110081000000,101180000000,103312000000,109683000000,118096000000,119870000000,114725000000
Monaco,5367625613,6088808463,5743029680,6555983530,7069616049,6261622101,6472990923,6431314957,7194024563,7383745662,6816219303
Moldova,6974982393,8414351672,8709138765,9496717702,9510198962,7745241913,8071469355,9669741744,11457443185,11971345003,11859730544
Madagascar,9982711338,11551819618,11578974888,12423555269,12522957228,11323020829,11848613735,13176313594,13614412551,14191911512,13225591804
Maldives,2588176055,2774351760,2886170572,3295011382,3697351597,4109424800,4379136462,4754175869,5300962660,5607762625,3742769967
Middle East & North Africa,2973060000000,3355720000000,3614570000000,3553160000000,3569380000000,3140630000000,3168630000000,3296300000000,3459090000000,3465220000000,3106900000000
Mexico,1057800000000,1180490000000,1201090000000,1274440000000,1315350000000,1171870000000,1078490000000,1158910000000,1222410000000,1269400000000,1087120000000
Marshall Islands,160407100,172188500,180436300,184840400,182142800,183814300,201510900,213204100,221588900,239462200,244462400
Middle income,19850900000000,23678400000000,25244100000000,26739600000000,27621900000000,26188800000000,26434300000000,29040100000000,30844600000000,31581100000000,30433800000000
North Macedonia,9407168702,10494632699,9745251126,10817712139,11362272838,10064515432,10672471861,11307058382,12683070061,12606338449,12116981815
Mali,10689168011,12995112698,12442035328,13242690790,14364937128,13104764379,14026048334,15365713059,17070867578,17280250805,17465392779
