Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cameroon,4.300000190734863,5.0,7.5,10.0,16.214872360229492,18.299999237060547,20.600000381469727,23.20297241210937,29.700000762939453,33.5,37.79999923706055
Canada,80.30000305175781,83.0,83.0,85.80000305175781,87.12000274658203,90.0,91.16000366210938,92.7013702392578,94.63999938964844,96.5,96.97000122070312
Cape Verde,30.0,32.0,34.7400016784668,37.5,40.2599983215332,42.683013916015625,50.32281875610352,57.162147521972656,59.5,61.943397521972656,64.5
Cayman Islands,66.0,69.4659423828125,69.69999694824219,71.4000015258789,74.0999984741211,77.0,79.0,81.06769561767578,,,
Central African Republic,2.0,2.200000047683716,2.400000095367432,2.5,2.700000047683716,2.900000095367432,3.0999999046325684,4.0,5.099999904632568,8.300000190734863,10.399999618530272
Chad,1.7000000476837158,1.899999976158142,2.0999999046325684,2.5,2.900000095367432,3.5,5.800000190734863,7.400000095367432,8.0,9.800000190734863,10.399999618530272
Chile,45.0,52.24960708618164,55.04999923706055,58.0,61.11000061035156,76.62959289550781,83.55858612060547,82.32748413085938,84.9000015258789,86.0999984741211,88.30000305175781
China,34.29999923706055,38.29999923706055,42.30011749267578,45.79999923706055,47.900001525878906,50.29999923706055,53.20000076293945,54.29999923706055,59.20000076293945,64.1098403930664,70.40477752685547
Colombia,36.5,40.35091400146485,48.97999954223633,51.70000076293945,52.56999969482422,55.904972076416016,58.13649368286133,62.25988006591797,64.12637329101562,65.00689697265625,69.79000091552734
Comoros,5.099999904632568,5.5,5.975296497344971,6.5,6.980000019073486,7.459161281585693,7.9383225440979,8.478170394897461,,,
Congo,5.0,5.599999904632568,6.106695175170898,6.599999904632568,7.110000133514404,7.615974426269531,8.121949195861816,8.649999618530273,,,
Costa Rica,36.5,39.212196350097656,47.5,45.959999084472656,53.0,59.7629508972168,65.88044738769531,71.5816650390625,73.47972869873047,81.20259857177734,80.53018951416016
Cote d'Ivoire,2.700000047683716,2.900000095367432,4.400000095367432,6.599999904632568,10.0,16.700000762939453,25.299999237060547,34.79999923706055,37.54653549194336,36.28895568847656,
Croatia,56.54999923706055,57.78997802734375,61.939971923828125,66.74759674072266,68.56999969482422,69.84503936767578,72.69727325439453,67.09619140625,75.29462432861328,79.07978057861328,78.32093048095703
Cuba,15.899999618530272,16.017290115356445,21.200000762939453,27.93000030517578,29.0701847076416,37.30509567260742,42.97867584228516,57.14840316772461,62.67892456054688,67.97080993652344,74.0
Curacao,,,,,,,61.85551071166992,68.12721252441406,,,
Cyprus,52.9900016784668,56.859893798828125,60.68986892700195,65.45480346679688,69.33000183105469,71.71574401855469,75.90020751953125,80.7431869506836,84.43358612060547,86.06362915039062,90.80194854736328
Czechia,68.81999969482422,70.48999786376953,73.43000793457031,74.11039733886719,74.2317123413086,75.66883850097656,76.481201171875,78.71916961669922,80.68816375732422,80.866943359375,81.33889770507812
Democratic Republic of Congo,0.7200000286102295,1.2000000476837158,1.6799609661102295,2.200000047683716,3.0,3.799999475479126,6.20997428894043,8.619904518127441,11.699999809265137,12.5,13.600000381469728
Denmark,88.72000122070312,89.81001281738281,92.260009765625,94.62969970703124,95.98999786376952,96.33050537109376,96.96778869628906,97.099365234375,97.31920623779295,98.0464324951172,96.54914855957033
Djibouti,6.5,7.0,9.399999618530272,12.699999809265137,17.0,22.899999618530277,30.799999237060547,55.6814079284668,58.0,59.0,59.0
Dominica,47.45000076293945,48.59999847412109,49.79999923706055,51.0,57.5,65.0,67.02999877929688,69.61966705322266,,,
Dominican Republic,31.399999618530277,38.0,42.31999969482422,45.900001525878906,49.58000183105469,54.21576690673828,63.87086486816406,67.57124328613281,74.82205200195312,75.80000305175781,76.9000015258789
East Asia and Pacific,34.270503997802734,37.40225982666016,40.45217514038086,43.31155776977539,46.09100341796875,48.87998962402344,52.24224853515625,54.37322998046875,59.51553726196289,63.9402961730957,69.21808624267578
Ecuador,29.030000686645508,31.36680793762207,35.13514709472656,40.27912139892578,45.59038925170898,48.94043350219727,54.06292343139648,55.79999923706055,57.5,61.59999847412109,64.5999984741211
Egypt,21.600000381469727,25.600000381469727,26.399999618530277,29.399999618530277,33.89460372924805,37.81938171386719,41.24806594848633,44.95020294189453,46.92433547973633,57.28286743164063,71.91419982910156
El Salvador,15.899999618530272,18.899999618530277,20.321388244628903,23.10930061340332,24.7617130279541,26.80260467529297,28.997072219848636,33.82072830200195,43.79999923706055,50.49119186401367,54.60137176513672
Equatorial Guinea,6.0,11.5,13.943181991577148,16.399999618530273,18.86000061035156,21.31999969482422,23.780000686645508,26.239999771118164,,,
Eritrea,0.6100000143051147,0.699999988079071,0.800000011920929,0.8999999761581421,0.9900000095367432,1.083733081817627,1.1771187782287598,1.3089070320129397,,,
Estonia,74.0999984741211,76.5,78.38992309570312,80.00430297851562,84.24153137207031,88.40970611572266,87.240234375,88.10245513916016,89.35700988769531,90.22892761230467,89.05828857421875
Eswatini,11.039999961853027,18.1299991607666,20.781782150268555,24.700000762939453,25.0,25.643041610717773,28.56999969482422,30.299999237060547,,,
Ethiopia,0.75,1.100000023841858,2.900000095367432,4.599999904632568,7.699999809265137,13.855175971984863,15.366924285888672,18.618051528930664,20.0,22.0,24.0
Europe and Central Asia,57.08758163452149,60.27293014526367,63.95801162719727,66.31938934326172,68.98341369628906,70.018310546875,72.39662170410156,74.52881622314453,78.92041015625,81.82334899902344,83.88905334472656
European Union,68.69564056396484,69.66178131103516,71.85745239257812,73.61036682128906,75.18550109863281,75.6544189453125,76.89717864990234,78.6838150024414,81.73837280273438,83.8442153930664,84.74347686767578
Faeroe Islands,75.19999694824219,80.73217010498047,85.33518981933594,90.0,93.3000030517578,94.1999969482422,95.10868072509766,97.58196258544922,,,
Fiji,20.0,28.0,33.74235534667969,35.20000076293945,37.400001525878906,42.5,49.41999816894531,65.77999877929688,68.9000015258789,,
Finland,86.88999938964844,88.70999145507812,89.87999725341797,91.51439666748048,86.5303955078125,86.42213439941406,87.70365142822266,87.46892547607422,88.88996124267578,89.60738372802734,92.16999816894533
France,77.27999877929688,77.81999969482422,81.44000244140625,81.9197998046875,83.75,78.00603485107422,79.26981353759766,80.50245666503906,82.0431900024414,83.3397445678711,84.80000305175781
French Polynesia,49.0,49.0,52.87662887573242,56.79999923706055,60.68000030517578,64.56021118164062,68.44042205810547,72.70389556884766,,,
Gabon,13.0,18.0,24.0,30.53803253173828,38.07120895385742,45.78453826904297,48.05227279663086,50.32012176513672,59.59999847412109,61.0,62.0
Gambia,9.199999809265137,10.87030029296875,12.449228286743164,14.0,15.5600004196167,18.200000762939453,21.399999618530277,25.100000381469727,32.599998474121094,34.5,36.5
Georgia,26.899999618530277,31.520000457763672,36.93999862670898,43.29999923706055,44.0,47.56975936889648,58.45928955078125,59.70550537109375,62.7179069519043,68.8467025756836,72.53158569335938
Germany,82.0,81.2699966430664,82.3499984741211,84.16999816894531,86.19000244140625,87.58979797363281,84.16520690917969,84.39415740966797,87.037109375,88.13451385498047,89.81294250488281
Ghana,7.800000190734863,9.0,10.600000381469728,15.0,19.0,23.0,28.0,37.88415145874024,43.0,53.0,58.0
Gibraltar,65.0,65.0,65.01699829101562,,,,94.44447326660156,,,,
Greece,44.400001525878906,51.649993896484375,55.06999206542969,59.86629867553711,63.209999084472656,66.8349609375,69.0879135131836,69.8929672241211,72.23837280273438,75.67120361328125,78.1158447265625
Greenland,63.0,64.0,64.89601135253906,65.80000305175781,66.69999694824219,67.6004409790039,68.5008773803711,69.48246002197266,,,
Grenada,27.0,30.0,32.0,35.0,51.59999847412109,52.5,53.29999923706055,54.20000076293945,55.09999847412109,56.0,56.900001525878906
Guam,54.040000915527344,57.70000076293945,61.53416061401367,65.4000015258789,69.2699966430664,73.13999938964844,77.01000213623047,80.50546264648438,,,
Guatemala,10.5,12.300000190734863,16.0,19.700000762939453,23.399999618530277,28.80594062805176,34.50932693481445,37.900001525878906,41.5,44.40105056762695,49.970001220703125
Guinea,1.0,2.0,3.0999999046325684,4.5,6.400000095367432,9.199999809265137,13.100000381469728,18.700000762939453,21.83002281188965,23.0,26.0
Guinea-Bissau,2.450000047683716,2.671999931335449,2.8939905166625977,3.0999999046325684,3.319999933242798,6.099999904632568,13.800000190734863,14.800000190734863,15.699999809265137,19.399999618530277,22.899999618530277
Guyana,29.899999618530277,30.0,30.5,31.0,32.0,34.0,35.65999984741211,37.32583618164063,,,
Haiti,8.369999885559082,9.0,9.800000190734863,10.600000381469728,11.399999618530272,14.199999809265137,22.799999237060547,27.200000762939453,32.473628997802734,33.29999923706055,34.5
High income,72.24767303466797,72.79930114746094,75.4997329711914,76.8553695678711,78.49444580078125,79.93095397949219,84.27359771728516,85.77418518066406,87.48468017578125,89.04125213623047,89.82161712646484
Honduras,11.09000015258789,15.899999618530272,18.1200008392334,17.799999237060547,23.0,27.100000381469727,29.5,31.700000762939453,36.0,39.38835144042969,42.04999923706055
Hong Kong,72.0,72.19999694824219,72.9000015258789,74.19999694824219,79.86627197265625,84.94835662841797,87.47941589355469,89.41594696044922,90.50739288330078,91.74340057373048,92.41313934326172
Hungary,65.0,68.01998901367188,70.58000183105469,72.6438980102539,75.6531982421875,72.8347396850586,79.25941467285156,76.75054931640625,76.0743637084961,80.37169647216797,84.77114868164062
Iceland,93.38999938964844,94.81968688964844,96.20980072021484,96.54679870605467,98.16000366210938,98.1999969482422,98.2400131225586,98.25520324707033,99.01095581054688,99.0,99.0
India,7.5,10.06999969482422,11.100000381469728,12.300000190734863,13.5,14.899999618530272,16.5,18.200000762939453,20.081300735473636,29.399999618530277,43.0
Indonesia,10.920000076293944,12.279999732971191,14.520000457763672,14.9399995803833,17.139999389648438,22.062742233276367,25.44735336303711,32.33580780029297,39.90464019775391,47.69064712524414,53.72649383544922
Iran,15.899999618530272,19.0,22.729999542236328,29.950000762939453,39.34999847412109,45.33497619628906,53.22677230834961,64.04397583007812,70.2005615234375,77.77083587646484,84.11087036132812
Iraq,2.5,5.0,7.099999904632568,9.199999809265137,13.210000038146973,16.799999237060547,37.66999816894531,41.93999862670898,43.29999923706055,60.0,
Ireland,69.8499984741211,74.88997650146484,76.91999053955078,78.2477035522461,83.4917221069336,83.49478912353516,83.5,84.11400604248047,87.00013732910156,87.00005340576172,91.99989318847656
